
                           FV1 E: 1 IP: 1   SOH  on section
                           ELSET CENTRALEL   SURFACE SSET S
                        X         -1            URFACE-1   

           2.20849384E-02   2.94194183E+02   5.87572498E+12
           2.21750159E-02   2.94194336E+02   5.85946785E+12
           2.22650934E-02   2.94194519E+02   5.84334390E+12
           2.23551728E-02   2.94194702E+02   5.82735102E+12
           2.24452503E-02   2.94194885E+02   5.81148816E+12
           2.25353278E-02   2.94195068E+02   5.79575271E+12
           2.26254053E-02   2.94195251E+02   5.78014360E+12
           2.27154829E-02   2.94195435E+02   5.76465928E+12
           2.28055604E-02   2.94195618E+02   5.74929764E+12
           2.29027979E-02   2.94195801E+02   5.73285650E+12
           2.30000373E-02   2.94196014E+02   5.71655481E+12
           2.30972748E-02   2.94196198E+02   5.70038996E+12
           2.31945124E-02   2.94196381E+02   5.68436143E+12
           2.32917517E-02   2.94196594E+02   5.66846607E+12
           2.33889893E-02   2.94196777E+02   5.65270335E+12
           2.34862268E-02   2.94196960E+02   5.63707013E+12
           2.35834643E-02   2.94197174E+02   5.62156588E+12
           2.36807037E-02   2.94197357E+02   5.60618799E+12
           2.37779412E-02   2.94197571E+02   5.59093540E+12
           2.38751788E-02   2.94197754E+02   5.57580655E+12
           2.39724182E-02   2.94197937E+02   5.56079881E+12
           2.40696557E-02   2.94198151E+02   5.54591165E+12
           2.41668932E-02   2.94198334E+02   5.53114350E+12
           2.42641307E-02   2.94198517E+02   5.51649175E+12
           2.43689436E-02   2.94198730E+02   5.50083337E+12
           2.44737566E-02   2.94198944E+02   5.48530710E+12
           2.45785713E-02   2.94199158E+02   5.46991191E+12
           2.46833842E-02   2.94199371E+02   5.45464517E+12
           2.47881971E-02   2.94199585E+02   5.43950530E+12
           2.48930100E-02   2.94199799E+02   5.42449074E+12
           2.49978229E-02   2.94199982E+02   5.40959991E+12
           2.51026358E-02   2.94200195E+02   5.39483125E+12
           2.52074488E-02   2.94200409E+02   5.38018316E+12
           2.53122617E-02   2.94200623E+02   5.36565357E+12
           2.54170746E-02   2.94200836E+02   5.35124089E+12
           2.55218875E-02   2.94201050E+02   5.33694408E+12
           2.56267004E-02   2.94201263E+02   5.32276157E+12
           2.57315133E-02   2.94201477E+02   5.30869178E+12
           2.58363262E-02   2.94201660E+02   5.29473366E+12
           2.59496327E-02   2.94201904E+02   5.27977205E+12
           2.60629375E-02   2.94202118E+02   5.26493732E+12
           2.61762440E-02   2.94202362E+02   5.25022685E+12
           2.62895506E-02   2.94202576E+02   5.23563958E+12
           2.64028553E-02   2.94202820E+02   5.22117343E+12
           2.65161619E-02   2.94203033E+02   5.20682734E+12
           2.66294684E-02   2.94203247E+02   5.19259921E+12
           2.67427750E-02   2.94203491E+02   5.17848747E+12
           2.68560797E-02   2.94203705E+02   5.16449108E+12
           2.69693863E-02   2.94203949E+02   5.15060741E+12
           2.70826928E-02   2.94204163E+02   5.13683594E+12
           2.71959994E-02   2.94204407E+02   5.12317509E+12
           2.73093041E-02   2.94204620E+02   5.10962329E+12
           2.74226107E-02   2.94204834E+02   5.09617897E+12
           2.75448002E-02   2.94205078E+02   5.08180405E+12
