
                           FV1 E: 1 IP: 1   SOH  on section
                           ELSET CENTRALEL   SURFACE SSET S
                        X         -1            URFACE-1   

           8.64505116E-03   3.00018738E+02   3.41213908E+13
           8.66367575E-03   3.00018799E+02   3.41592297E+13
           8.68230034E-03   3.00018829E+02   3.41970287E+13
           8.70092493E-03   3.00018860E+02   3.42347921E+13
           8.71954951E-03   3.00018921E+02   3.42725157E+13
           8.73817410E-03   3.00018951E+02   3.43102015E+13
           8.75679869E-03   3.00018982E+02   3.43478475E+13
           8.77542328E-03   3.00019043E+02   3.43854578E+13
           8.79404880E-03   3.00019073E+02   3.44230304E+13
           8.81267339E-03   3.00019104E+02   3.44605652E+13
           8.83129798E-03   3.00019165E+02   3.44980623E+13
           8.84992257E-03   3.00019196E+02   3.45355216E+13
           8.86854716E-03   3.00019226E+02   3.45729432E+13
           8.88717175E-03   3.00019287E+02   3.46103292E+13
           8.90579633E-03   3.00019318E+02   3.46476773E+13
           8.92442092E-03   3.00019348E+02   3.46849878E+13
           8.94304551E-03   3.00019409E+02   3.47222605E+13
           8.96167010E-03   3.00019440E+02   3.47594996E+13
           8.98029469E-03   3.00019470E+02   3.47966989E+13
           8.99891928E-03   3.00019531E+02   3.48338646E+13
           9.01754387E-03   3.00019562E+02   3.48709926E+13
           9.03616846E-03   3.00019592E+02   3.49080828E+13
           9.05479304E-03   3.00019653E+02   3.49451395E+13
           9.07341763E-03   3.00019684E+02   3.49821584E+13
           9.09204222E-03   3.00019714E+02   3.50191417E+13
           9.11066774E-03   3.00019775E+02   3.50560893E+13
           9.12929233E-03   3.00019806E+02   3.50930013E+13
           9.14791692E-03   3.00019836E+02   3.51298776E+13
           9.16654151E-03   3.00019897E+02   3.51667183E+13
           9.18516610E-03   3.00019928E+02   3.52035233E+13
           9.20379069E-03   3.00019958E+02   3.52402947E+13
           9.22241528E-03   3.00019989E+02   3.52770285E+13
           9.24103986E-03   3.00020050E+02   3.53137286E+13
           9.25966445E-03   3.00020081E+02   3.53503910E+13
           9.27828904E-03   3.00020111E+02   3.53870199E+13
           9.29691363E-03   3.00020172E+02   3.54236152E+13
           9.31553822E-03   3.00020203E+02   3.54601769E+13
           9.33416281E-03   3.00020233E+02   3.54967009E+13
           9.35278740E-03   3.00020294E+02   3.55331956E+13
           9.37141199E-03   3.00020325E+02   3.55696525E+13
           9.39003658E-03   3.00020355E+02   3.56060716E+13
           9.40866116E-03   3.00020416E+02   3.56424614E+13
           9.42448340E-03   3.00020447E+02   3.56733482E+13
           9.44030471E-03   3.00020477E+02   3.57042099E+13
           9.45612695E-03   3.00020508E+02   3.57350506E+13
           9.47194826E-03   3.00020538E+02   3.57658620E+13
           9.48777050E-03   3.00020569E+02   3.57966524E+13
           9.50359181E-03   3.00020599E+02   3.58274176E+13
           9.51941311E-03   3.00020660E+02   3.58581577E+13
           9.53523535E-03   3.00020691E+02   3.58888767E+13
           9.55105666E-03   3.00020721E+02   3.59195707E+13
           9.56687890E-03   3.00020752E+02   3.59502394E+13
           9.58270021E-03   3.00020782E+02   3.59808830E+13
           9.59852245E-03   3.00020813E+02   3.60115014E+13
           9.61434375E-03   3.00020844E+02   3.60420989E+13
           9.63016506E-03   3.00020874E+02   3.60726712E+13
           9.64598730E-03   3.00020935E+02   3.61032225E+13
           9.66180861E-03   3.00020966E+02   3.61337486E+13
           9.67763085E-03   3.00020996E+02   3.61642496E+13
           9.69345216E-03   3.00021027E+02   3.61947254E+13
           9.70927440E-03   3.00021057E+02   3.62251802E+13
           9.72509570E-03   3.00021088E+02   3.62556141E+13
           9.74091701E-03   3.00021118E+02   3.62860186E+13
           9.75673925E-03   3.00021149E+02   3.63164022E+13
           9.77256056E-03   3.00021210E+02   3.63467647E+13
           9.78838280E-03   3.00021240E+02   3.63771021E+13
           9.80420411E-03   3.00021271E+02   3.64074186E+13
           9.82002635E-03   3.00021301E+02   3.64377098E+13
           9.83584765E-03   3.00021332E+02   3.64679759E+13
           9.85166989E-03   3.00021362E+02   3.64982210E+13
           9.86749120E-03   3.00021393E+02   3.65284452E+13
